run_datetime,S0,K,mu,sigma,N,monitoring_dates,style,l1,l2,l3,e1,e2,initial_option_value
2023-11-20 15:01:02.078173,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05583827245082374
2023-11-20 15:01:12.004624,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.054946290001
2023-11-20 15:01:23.185198,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05589740409348084
2023-11-20 15:01:33.492069,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056749333951619164
2023-11-20 15:01:41.952805,1.0,1.0,0.06,0.2,400,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055744961606496585
2023-11-20 15:01:50.891779,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05643313914820241
2023-11-20 15:02:03.348065,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055793338966545356
2023-11-20 15:02:15.028451,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05568407164550787
2023-11-20 15:02:26.948785,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056449459017901854
2023-11-20 15:02:41.531590,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05587850966925025
2023-11-20 15:02:55.376414,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056318975025203825
2023-11-20 15:03:05.305949,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05554790077904018
2023-11-20 15:03:13.866983,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05698553457181042
2023-11-20 15:03:26.751097,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05564159151168614
2023-11-20 15:03:37.104315,1.0,1.0,0.06,0.2,500,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05547784954376491
2023-11-20 15:10:08.957914,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056286218400595396
2023-11-20 15:10:53.662653,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.054984967065230365
2023-11-20 15:11:01.569079,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05761083142584289
2023-11-20 15:11:10.360358,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0555263364151904
2023-11-20 15:11:18.048453,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05667802246580237
2023-11-20 15:11:26.670897,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056684880996553465
2023-11-20 15:11:35.877946,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.054886480023887387
2023-11-20 15:11:42.864304,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05665899506282557
